dataset_percent,accuracy
1.0,0.4638888888888889
2.0,0.625462962962963
3.0,0.725
4.0,0.798611111111111
5.0,0.8726851851851853
6.000000000000001,0.8912037037037036
6.999999999999999,0.9041666666666668
8.0,0.938425925925926
9.0,0.938425925925926
10.0,0.9574074074074075
11.0,0.9550925925925926
12.0,0.9662037037037038
13.0,0.9680555555555557
14.000000000000002,0.9722222222222221
15.000000000000002,0.9782407407407406
16.0,0.975925925925926
17.0,0.9814814814814815
18.000000000000004,0.9814814814814815
19.0,0.9884259259259259
20.0,0.9828703703703703
21.000000000000004,0.9851851851851852
22.0,0.9898148148148149
23.0,0.987037037037037
24.000000000000004,0.9916666666666666
25.0,0.9907407407407407
26.0,0.9944444444444445
27.0,0.9875
28.000000000000004,0.986574074074074
29.000000000000004,0.9888888888888889
30.0,0.9925925925925926
31.0,0.9893518518518519
32.0,0.9935185185185185
33.0,0.9930555555555556
34.0,0.9967592592592591
35.0,0.9949074074074075
36.00000000000001,0.9949074074074075
37.0,0.9944444444444445
38.0,0.9921296296296296
39.0,0.9958333333333333
40.0,0.9953703703703702
41.0,0.9972222222222221
42.00000000000001,0.9962962962962962
43.0,0.9958333333333333
44.0,0.9958333333333333
45.0,0.9958333333333332
46.0,0.9967592592592591
47.0,0.9967592592592591
48.00000000000001,0.9958333333333332
49.0,0.9962962962962962
50.0,0.9962962962962962
51.0,0.9962962962962962
52.0,0.9972222222222221
53.0,0.9972222222222221
54.0,0.9962962962962962
55.00000000000001,0.9986111111111111
56.00000000000001,0.9972222222222221
57.00000000000001,0.9976851851851851
58.00000000000001,0.9981481481481481
59.0,0.9981481481481481
60.0,0.9972222222222221
61.0,0.9972222222222221
62.0,0.9976851851851851
63.0,0.9981481481481481
64.0,0.9976851851851851
65.0,0.999074074074074
66.0,0.9986111111111111
67.0,0.9981481481481481
68.0,0.9986111111111111
69.0,0.9986111111111111
70.0,0.9981481481481481
71.00000000000001,0.9986111111111111
72.0,0.9986111111111111
73.0,0.999537037037037
74.0,0.999537037037037
75.0,0.9986111111111111
76.0,0.999074074074074
77.0,0.9986111111111111
78.0,0.9976851851851851
79.0,0.999074074074074
80.0,0.999537037037037
81.0,0.999074074074074
82.0,0.999074074074074
83.0,0.9981481481481481
84.00000000000001,1.0
85.0,1.0
86.0,0.9986111111111111
87.0,0.999074074074074
88.0,0.999074074074074
89.0,1.0
90.0,0.999537037037037
91.0,1.0
92.0,0.999537037037037
93.0,0.999537037037037
94.0,1.0
95.0,0.999537037037037
96.00000000000001,1.0
97.0,0.999537037037037
98.0,1.0
99.0,1.0
100.0,1.0
